Jumlah Kamar Tidur,Jumlah Kamar Mandi,Luas Bangunan,Luas Tanah, Harga
7,4,300,270,Rp 1.500.000.000
2,1,36,98,Rp 355.500.000
3,2,200,300,Rp 800.000.000
2,1,40,175,Rp 800.000.000
2,1,62,97.5,Rp 475.000.000
2,1,55,84,Rp 300.000.000
2,2,1000,900,Rp 16.000.000.000
2,2,225,300,Rp 5.600.000.000
3,2,100,325,Rp 1.300.000.000
3,3,250,307,Rp 2.500.000.000
6,6,500,550,Rp 6.000.000.000
3,4,220,146,Rp 2.400.000.000
2,1,200,400,Rp 600.000.000
2,3,129,130,Rp 1.500.000.000
2,1,28,72,Rp 168.000.000
2,2,160,204,Rp 1.500.000.000
2,2,100,200,Rp 550.000.000
4,4,185,402,Rp 1.500.000.000
2,1,50,103,Rp 550.000.000
4,4,340,2300,Rp 9.750.000.000
2,1,36,110,Rp 250.000.000
2,3,126.3,700,Rp 4.200.000.000
3,2,180,360,Rp 2.400.000.000
4,3,100,420,Rp 1.800.000.000
4,2,400,431,Rp 6.500.000.000
2,2,113.54,243,Rp 3.450.000.000
2,1,48,83,Rp 322.000.000
2,3,147.88,237,Rp 4.500.000.000
7,7,690,2990,Rp 27.000.000.000
2,2,125,800,Rp 3.000.000.000
4,4,500,3100,Rp 4.500.000.000
22,22,350,400,Rp 2.300.000.000
2,1,70,90,Rp 200.000.000
2,1,75,109,Rp 675.000.000
7,7,300,400,Rp 4.500.000.000
1,1,70,130,Rp 550.000.000
3,2,250,150,Rp 850.000.000
4,6,600,1400,Rp 4.500.000.000
3,3,272.04,420,Rp 5.625.000.000
3,2,125,155,Rp 700.000.000
1,1,300,1500,Rp 2.000.000.000
2,1,36,90,Rp 302.500.000
2,1,30,55,Rp 617.500.000
3,3,150,300,Rp 2.500.000.000
3,2,250,266,Rp 600.000.000
4,3,305,725,Rp 4.500.000.000
2,1,79,100,Rp 300.000.000
3,2,100,120,Rp 250.000.000
2,1,30,72,Rp 158.000.000
10,8,391,391,Rp 800.000.000
4,3,500,1200,Rp 2.500.000.000
4,4,180,467,Rp 1.700.000.000
5,4,300,1000,Rp 4.500.000.000
3,2,100,150,Rp 850.000.000
2,1,119,119,Rp 200.000.000
2,3,100,120,Rp 1.300.000.000
2,2,90,105,Rp 750.000.000
1,1,102,500,Rp 950.000.000
3,2,130,149,Rp 950.000.000
2,3,400,1600,Rp 2.700.000.000
3,2,150,200,Rp 625.000.000
2,1,47,130,Rp 500.000.000
3,2,300,450,Rp 5.500.000.000
2,1,100,80,Rp 380.000.000
3,1,93,93,Rp 165.000.000
5,2,300,410,Rp 1.000.000.000
10,9,225,434,Rp 1.400.000.000
3,1,135,261,Rp 600.000.000
5,3,400,430,Rp 6.000.000.000
2,1,30,88,Rp 275.000.000
5,4,300,650,Rp 3.500.000.000
3,3,150,378,Rp 1.500.000.000
3,3,210,800,Rp 3.000.000.000
2,2,250,500,Rp 2.500.000.000
2,2,154,154,Rp 800.000.000
3,2,55,185,Rp 1.450.000.000
3,2,124,294,Rp 850.000.000
3,1,60,120,Rp 690.000.000
4,4,90,154,Rp 2.500.000.000
5,5,150,1000,Rp 5.000.000.000
4,2,125,150,Rp 1.000.000.000
2,1,82,106,Rp 650.000.000
5,4,500,1000,Rp 14.000.000.000
4,2,200,468,Rp 1.850.000.000
3,2,90,127,Rp 650.000.000
5,3,500,600,Rp 2.500.000.000
3,2,60,110,Rp 300.000.000
3,3,148,157,Rp 700.000.000
2,2,125,800,Rp 2.700.000.000
2,2,100,300,Rp 1.900.000.000
3,2,200,413,Rp 800.000.000
12,11,600,763,Rp 2.900.000.000
5,3,300,300,Rp 1.200.000.000
2,2,40,104,Rp 700.000.000
3,3,300,700,Rp 4.500.000.000
4,2,176,400,Rp 450.000.000
2,1,46,90,Rp 525.000.000
4,3,275,300,Rp 700.000.000
2,1,45,88,Rp 275.000.000
6,6,800,4000,Rp 12.000.000.000
13,13,300,550,Rp 2.500.000.000
2,1,36,100,Rp 270.000.000
16,16,400,623,Rp 2.250.000.000
3,2,75,100,Rp 450.000.000
11,4,150,900,Rp 2.250.000.000
3,3,200,477,Rp 1.500.000.000
2,2,280,330,Rp 3.500.000.000
2,2,600,1500,Rp 2.000.000.000
3,3,150,256,Rp 1.300.000.000
3,5,200,425,Rp 2.200.000.000
2,1,90,118,Rp 460.000.000
3,2,120,120,Rp 550.000.000
3,1,45,100,Rp 350.000.000
3,3,250,3150,Rp 3.500.000.000
4,2,70,120,Rp 725.000.000
7,7,1680,2990,Rp 23.650.000.000
2,1,36,90,Rp 270.000.000
3,3,150,187,Rp 1.800.000.000
10,10,250,578,Rp 4.000.000.000
2,2,54,216,Rp 350.000.000
2,1,75,84,Rp 190.000.000
2,1,80,144,Rp 550.000.000
2,3,156,156,Rp 3.559.600.000
2,1,50,112,Rp 280.000.000
3,2,400,800,Rp 3.500.000.000
5,3,198,191,Rp 1.100.000.000
4,4,500,855,Rp 3.600.000.000
3,2,170,215,Rp 250.000.000
3,2,100,138,Rp 650.000.000
4,4,180,460,Rp 1.800.000.000
2,2,168,216,Rp 1.500.000.000
3,4,380,149,Rp 879.000.000
3,3,180,467,Rp 1.700.000.000
4,6,500,1789,Rp 5.000.000.000
2,2,249,500,Rp 2.500.000.000
8,9,100,628,Rp 6.900.000.000
3,3,148,157,Rp 700.000.000
2,1,80,134,Rp 375.000.000
4,3,300,186,Rp 1.500.000.000
2,2,75,80,Rp 300.000.000
8,8,0,600,Rp 3.900.000.000
3,3,250,505,Rp 2.950.000.000
5,5,240,280,Rp 2.000.000.000
2,1,43,99,Rp 350.000.000
3,2,100,449,Rp 3.000.000.000
1,1,200,400,Rp 4.580.000.000
3,3,180,1567,Rp 2.900.000.000
1,1,24,100,Rp 141.800.000
2,2,54,100,Rp 350.000.000
10,10,1500,2100,Rp 5.000.000.000
4,3,200,275,Rp 1.300.000.000
4,2,400,535,Rp 1.100.000.000
2,1,52,120,Rp 370.000.000
4,4,400,418,Rp 2.300.000.000
2,1,27,72,Rp 168.000.000
2,2,90,195,Rp 800.000.000
3,1,100,123,Rp 255.000.000
3,2,200,288,Rp 2.500.000.000
2,1,60,120,Rp 720.000.000
5,5,170,250,Rp 1.000.000.000
2,1,45,100,Rp 363.000.000
3,2,192,1182,Rp 2.900.000.000
3,2,100,125,Rp 650.000.000
4,2,90,102,Rp 475.000.000
2,2,65,106,Rp 480.000.000
1,1,30,75,Rp 168.000.000
2,2,70,162,Rp 396.562.500
3,3,500,583,Rp 3.000.000.000
3,2,100,137,Rp 800.000.000
3,2,100,300,Rp 500.000.000
1,1,60,100,Rp 650.000.000
28,28,1800,1023,Rp 13.500.000.000
1,1,24,100,Rp 149.000.000
2,1,27,80,Rp 168.000.000
3,3,100,135,Rp 1.300.000.000
2,1,80,200,Rp 430.000.000
3,2,200,86,Rp 750.000.000
2,1,97.5,135,Rp 475.000.000
3,3,250,485,Rp 7.900.000.000
3,2,100,198,Rp 1.400.000.000
5,3,325,425,Rp 850.000.000
3,2,100,153,Rp 650.000.000
13,13,1200,1304,Rp 8.500.000.000
3,2,200,377,Rp 2.000.000.000
3,3,210,800,Rp 2.900.000.000
3,3,140,200,Rp 2.500.000.000
2,1,50,125,Rp 660.000.000
2,1,60,119,Rp 350.000.000
6,6,500,600,Rp 2.500.000.000
3,1,300,300,Rp 2.250.000.000
4,4,240,3400,Rp 7.500.000.000
4,2,171,258,Rp 850.000.000
3,3,120,141,Rp 775.000.000
4,2,80,120,Rp 450.000.000
2,1,27,72,Rp 168.000.000
2,1,90,150,Rp 990.000.000
4,4,250,400,Rp 6.000.000.000
2,2,75,102,Rp 850.000.000
2,1,40,100,Rp 375.000.000
2,2,54,215,Rp 350.000.000
10,10,421,209,Rp 700.000.000
2,2,160,204,Rp 1.800.000.000
5,3,220,242,Rp 925.000.000
1,1,170,400,Rp 4.500.000.000
1,1,65,117,Rp 420.000.000
12,9,429,750,Rp 1.700.000.000
10,9,250,150,Rp 1.200.000.000
6,9,1619,3052,Rp 45.618.240.000
4,4,400,475,Rp 2.800.000.000
4,4,300,400,Rp 5.500.000.000
4,4,175,355,Rp 1.250.000.000
10,5,800,1500,Rp 12.000.000.000
2,1,90,122,Rp 400.000.000
4,2,172,2900,Rp 3.500.000.000
3,2,400,1500,Rp 2.800.000.000
3,3,125,200,Rp 2.625.000.000
2,1,40,102,Rp 483.598.500
2,1,260,254,Rp 500.000.000
4,4,300,1000,Rp 4.500.000.000
2,2,125,800,Rp 2.700.000.000
13,13,225,434,Rp 2.100.000.000
4,2,200,400,Rp 1.650.000.000
3,2,90,195,Rp 1.220.000.000
6,6,569,2400,Rp 14.580.000.000
2,3,209,635,Rp 1.900.000.000
10,10,1500,2100,Rp 5.000.000.000
4,3,800,1350,Rp 5.500.000.000
7,6,30,400,Rp 1.800.000.000
3,2,200,464,Rp 1.200.000.000
3,2,200,120,Rp 800.000.000
2,2,300,1000,Rp 2.500.000.000
3,2,120,120,Rp 550.000.000
3,2,148,148,Rp 900.000.000
6,5,400,1000,Rp 8.000.000.000
4,2,300,1206,Rp 4.200.000.000
2,1,260,250,Rp 500.000.000
4,6,536,324,Rp 2.350.000.000
2,2,0,104,Rp 700.000.000
5,2,200,300,Rp 825.000.000
2,1,42,105,Rp 585.000.000
2,1,36,73,Rp 265.000.000
3,3,210,800,Rp 3.000.000.000
4,4,100,155,Rp 2.500.000.000
2,3,100,120,Rp 1.300.000.000
4,3,200,600,Rp 3.500.000.000
6,6,2500,1800,Rp 28.000.000.000
5,4,94,636,Rp 1.100.000.000
6,4,272,205,Rp 1.000.000.000
3,3,150,2000,Rp 3.900.000.000
2,1,40,100,Rp 350.000.000
3,3,210,800,Rp 3.000.000.000
5,3,450,550,Rp 1.800.000.000
4,2,200,400,Rp 2.900.000.000
3,2,75,148,Rp 700.000.000
1,1,150,150,Rp 1.110.000.000
2,1,27,72,Rp 168.000.000
3,2,75,120,Rp 825.000.000
2,1,82,106,Rp 650.000.000
3,2,100,450,Rp 3.000.000.000
3,3,500,1790,Rp 5.000.000.000
9,9,500,708,Rp 4.000.000.000
2,2,150,400,Rp 700.000.000
3,2,400,1600,Rp 2.700.000.000
3,3,200,300,Rp 1.800.000.000
3,3,600,583,Rp 5.500.000.000
5,5,400,660,Rp 1.800.000.000
3,2,150,167,Rp 950.000.000
5,5,400,900,Rp 6.800.000.000
7,3,300,450,Rp 2.500.000.000
2,1,40,128,Rp 446.940.000
3,2,140,208,Rp 800.000.000
5,5,0,26957,Rp 17.522.000.000
3,3,400,600,Rp 4.000.000.000
3,3,180,242,Rp 600.000.000
5,3,160,200,Rp 1.400.000.000
5,4,250,453,Rp 1.700.000.000
3,3,150,300,Rp 2.950.000.000
5,5,700,15000,Rp 11.000.000.000
3,3,500,583,Rp 3.000.000.000
1,1,200,402,Rp 4.644.600.000
3,3,140,200,Rp 2.110.000.000
2,2,80,150,Rp 3.000.000.000
3,3,210,800,Rp 3.000.000.000
14,17,500,3000,Rp 16.500.000.000
10,13,1000,4900,Rp 10.312.000.000
6,5,366,800,Rp 10.000.000.000
5,5,100,290,Rp 1.200.000.000
4,4,2500,3100,Rp 4.500.000.000
16,16,2780,2780,Rp 20.000.000.000
3,1,36,98,Rp 355.500.000
2,2,200,4193,Rp 6.500.000.000
5,2,275,600,Rp 3.000.000.000
2,2,150,300,Rp 3.150.000.000
4,2,67,396,Rp 3.800.000.000
2,2,125,800,Rp 2.700.000.000
5,3,150,410,Rp 1.300.000.000
3,2,500,658,Rp 3.500.000.000
3,2,200,464,Rp 1.350.000.000
5,4,498,700,Rp 4.500.000.000
3,2,400,500,Rp 1.600.000.000
3,2,150,166,Rp 950.000.000
6,6,400,400,Rp 4.200.000.000
1,1,48,200,Rp 1.066.000.000
3,3,500,3248,Rp 8.500.000.000
3,2,120,120,Rp 550.000.000
2,1,45,147,Rp 625.000.000
4,4,150,300,Rp 2.950.000.000
2,2,305,253,Rp 6.900.000.000
3,3,400,2400,Rp 4.200.000.000
16,16,1600,2000,Rp 19.103.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
3,2,100,100,Rp 3.222.000.000
2,1,27,72,Rp 168.000.000
2,2,190,212,Rp 3.400.000.000
1,1,200,300,Rp 2.520.000.000
2,2,200,638,Rp 2.800.000.000
3,3,210,800,Rp 3.000.000.000
6,5,500,800,Rp 9.500.000.000
1,1,200,402,Rp 4.664.600.000
5,3,280,310,Rp 1.500.000.000
7,3,212,186,Rp 1.475.000.000
2,1,27,72,Rp 168.000.000
5,5,400,559,Rp 3.000.000.000
4,2,250,425,Rp 1.700.000.000
6,3,500,535,Rp 1.100.000.000
3,2,150,298,Rp 1.300.000.000
3,2,150,296,Rp 1.000.000.000
5,4,300,500,Rp 6.000.000.000
7,3,212,186,Rp 1.475.000.000
2,1,100,502,Rp 700.000.000
22,22,4036,9627,Rp 70.000.000.000
6,6,300,600,Rp 4.500.000.000
4,4,500,1000,Rp 5.000.000.000
2,1,75,140,Rp 2.800.000.000
2,2,90,228,Rp 1.700.000.000
3,3,210,800,Rp 2.900.000.000
6,4,272,206,Rp 2.000.000.000
3,3,210,800,Rp 3.000.000.000
2,2,180,1064,Rp 5.790.000.000
16,16,0,2000,Rp 19.450.000.000
11,11,1500,2000,Rp 12.000.000.000
3,3,441,303,Rp 8.050.000.000
2,3,410,820,Rp 7.500.000.000
2,3,1197,337,Rp 9.485.000.000
5,4,400,349,Rp 2.800.000.000
4,4,250,400,Rp 6.000.000.000
4,2,90,101,Rp 475.000.000
4,3,500,1200,Rp 2.500.000.000
3,3,100,135,Rp 1.300.000.000
4,2,148,249,Rp 1.430.000.000
3,1,66,114,Rp 638.000.000
10,11,1200,1349,Rp 8.500.000.000
4,4,300,340,Rp 1.950.000.000
4,2,300,1206,Rp 4.200.000.000
3,4,250,3150,Rp 3.500.000.000
2,2,175,273,Rp 1.500.000.000
2,2,200,500,Rp 1.500.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
3,1,75,140,Rp 750.000.000
7,3,212,186,Rp 1.475.000.000
4,4,200,227,Rp 1.500.000.000
4,4,650,3100,Rp 17.000.000.000
10,10,1269,10000,Rp 29.000.000.000
5,5,370,600,Rp 16.000.000.000
5,2,200,180,Rp 1.100.000.000
2,3,982,1029,Rp 9.485.000.000
2,3,982,308,Rp 9.485.000.000
5,5,200,560,Rp 7.000.000.000
7,7,1500,2989,Rp 25.000.000.000
6,6,400,599,Rp 4.500.000.000
2,3,100,120,Rp 1.300.000.000
11,11,200,437,Rp 1.800.000.000
2,2,150,196,Rp 650.000.000
4,4,175,354,Rp 1.250.000.000
9,9,150,311,Rp 1.200.000.000
4,4,248,1100,Rp 2.900.000.000
5,5,200,560,Rp 7.000.000.000
2,1,100,181,Rp 700.000.000
2,2,100,200,Rp 500.000.000
3,3,1000,4400,Rp 12.000.000.000
3,3,26,463,Rp 4.900.000.000
2,1,27,72,Rp 168.000.000
5,4,200,300,Rp 1.500.000.000
6,6,1756,1200,Rp 25.000.000.000
2,3,112,120,Rp 1.600.000.000
3,3,300,767,Rp 2.500.000.000
2,1,59,104,Rp 450.000.000
3,2,200,1000,Rp 1.500.000.000
5,4,500,1000,Rp 4.500.000.000
3,4,100,135,Rp 2.200.000.000
3,2,100,160,Rp 450.000.000
5,4,327,370,Rp 2.500.000.000
3,2,36,115,Rp 400.000.000
3,3,135,164,Rp 850.000.000
3,1,400,962,Rp 16.000.000.000
6,6,1370,1300,Rp 8.000.000.000
2,1,45,88,Rp 275.000.000
5,5,1056,1760,Rp 19.500.000.000
5,3,230,248,Rp 1.700.000.000
2,1,36,105,Rp 350.000.000
4,4,500,850,Rp 3.600.000.000
14,14,600,1023,Rp 13.000.000.000
4,4,400,418,Rp 2.500.000.000
2,2,70,112,Rp 500.000.000
11,9,250,300,Rp 2.500.000.000
1,1,24,107,Rp 240.000.000
2,1,27,72,Rp 168.000.000
5,5,500,700,Rp 11.000.000.000
1,1,325,425,Rp 850.000.000
5,5,600,2200,Rp 6.500.000.000
2,2,120,120,Rp 850.000.000
2,1,75,96,Rp 450.000.000
6,5,800,2400,Rp 9.000.000.000
3,3,370,600,Rp 8.700.000.000
5,5,2500,1800,Rp 30.000.000.000
12,6,550,716,Rp 3.300.000.000
3,3,120,141,Rp 775.000.000
1,1,135,150,Rp 3.500.000.000
3,3,210,5000,Rp 6.800.000.000
5,3,200,427,Rp 1.400.000.000
3,3,210,800,Rp 3.500.000.000
8,4,450,539,Rp 5.000.000.000
4,3,2000,3100,Rp 25.000.000.000
2,1,27,72,Rp 168.000.000
3,2,170,298,Rp 1.900.000.000
3,2,150,255,Rp 1.500.000.000
8,83,500,1016,Rp 10.523.000.000
2,1,27,72,Rp 168.000.000
6,4,911,1366,Rp 12.000.000.000
3,3,200,355,Rp 1.600.000.000
2,2,200,635,Rp 2.000.000.000
3,2,200,120,Rp 800.000.000
2,2,1000,900,Rp 16.000.000.000
3,2,500,658,Rp 3.500.000.000
1,1,82,123,Rp 800.000.000
3,2,200,120,Rp 800.000.000
4,4,500,3400,Rp 15.000.000.000
6,6,700,1400,Rp 7.500.000.000
7,4,155,259,Rp 2.200.000.000
3,2,60,166,Rp 585.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
1,2,27,72,Rp 168.000.000
4,4,400,418,Rp 2.750.000.000
5,5,300,250,Rp 2.200.000.000
10,10,250,578,Rp 3.250.000.000
2,3,116,227,Rp 9.485.000.000
2,1,27,72,Rp 168.000.000
3,2,160,168,Rp 850.000.000
1,2,27,72,Rp 168.000.000
2,1,55,84,Rp 399.000.000
3,2,20,408,Rp 3.600.000.000
3,2,250,310,Rp 1.500.000.000
3,2,138,466,Rp 1.200.000.000
4,2,250,426,Rp 1.700.000.000
6,6,1756,1200,Rp 15.000.000.000
2,2,300,3000,Rp 3.500.000.000
3,3,200,608,Rp 1.500.000.000
2,1,50,104,Rp 475.000.000
2,1,45,104,Rp 300.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
3,2,90,341,Rp 950.000.000
6,4,400,1000,Rp 7.500.000.000
6,6,500,1100,Rp 4.000.000.000
2,1,27,72,Rp 168.000.000
2,2,1000,900,Rp 16.000.000.000
5,5,300,316,Rp 2.500.000.000
2,1,27,72,Rp 168.000.000
6,5,800,2400,Rp 9.000.000.000
3,2,100,136,Rp 800.000.000
5,2,150,250,Rp 2.500.000.000
7,3,350,400,Rp 2.300.000.000
2,1,27,72,Rp 168.000.000
3,3,950,1000,Rp 13.050.000.000
3,3,230,600,Rp 4.500.000.000
3,2,120,140,Rp 750.000.000
2,1,100,950,Rp 7.500.000.000
2,2,647,2370,Rp 3.600.000.000
1,1,46,46,Rp 1.400.000.000
2,2,108,670,Rp 1.200.000.000
3,3,441,303,Rp 7.000.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,2,100,500,Rp 2.000.000.000
3,1,200,400,Rp 1.500.000.000
4,3,150,240,Rp 950.000.000
2,1,27,72,Rp 168.000.000
6,4,144,417,Rp 1.750.000.000
2,1,40,96,Rp 500.000.000
2,1,36,110,Rp 250.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
6,5,700,2300,Rp 19.500.000.000
4,2,400,1400,Rp 4.000.000.000
2,1,27,72,Rp 168.000.000
5,5,360,1760,Rp 19.500.000.000
4,4,336,3100,Rp 4.750.000.000
11,6,347,1589,Rp 5.500.000.000
2,1,27,72,Rp 168.000.000
5,5,300,600,Rp 2.500.000.000
2,1,27,72,Rp 168.000.000
3,3,220,220,Rp 3.300.000.000
5,5,300,316,Rp 2.500.000.000
2,2,150,285,Rp 1.200.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
2,1,27,72,Rp 168.000.000
3,2,150,200,Rp 1.200.000.000
2,2,175,275,Rp 1.500.000.000
3,3,100,148,Rp 450.000.000
4,4,300,360,Rp 4.000.000.000
3,3,120,170,Rp 1.400.000.000
3,2,150,300,Rp 1.500.000.000
3,3,441,303,Rp 8.050.000.000
3,3,150,185,Rp 1.800.000.000
3,2,250,250,Rp 800.000.000
6,4,911,1366,Rp 8.000.000.000
5,3,400,1500,Rp 2.500.000.000
3,3,1056,1760,Rp 19.500.000.000
2,1,45,100,Rp 475.000.000
1,3,156,190,Rp 850.000.000
6,4,212,200,Rp 1.000.000.000
6,2,180,300,Rp 36.000.000
4,5,400,1200,Rp 4.000.000.000
4,3,150,299,Rp 800.000.000
4,2,70,119,Rp 725.000.000
4,4,300,3100,Rp 4.500.000.000
3,2,200,385,Rp 2.800.000.000
2,1,60,103,Rp 365.000.000
4,5,300,362,Rp 2.500.000.000
5,4,600,1400,Rp 2.100.000.000
5,5,1000,1500,Rp 4.000.000.000
2,1,60,97,Rp 310.000.000
2,1,500,1278,Rp 1.650.000.000
4,1,126,350,Rp 800.000.000
3,2,73,149,Rp 685.000.000
6,6,599,819,Rp 7.500.000.000
7,3,199,258,Rp 735.000.000
5,5,500,1500,Rp 2.500.000.000
10,10,250,1299,Rp 1.600.000.000
2,2,150,300,Rp 1.200.000.000
2,1,36,97,Rp 370.000.000
2,3,129,130,Rp 1.350.000.000
3,4,1000,2100,Rp 7.000.000.000
3,1,200,450,Rp 5.500.000.000
4,2,60,120,Rp 450.000.000
4,4,350,2250,Rp 9.500.000.000
3,2,100,115,Rp 790.000.000
4,4,100,120,Rp 650.000.000
2,1,80,100,Rp 215.000.000
5,4,200,130,Rp 1.400.000.000
3,2,115,100,Rp 790.000.000
2,1,48,84,Rp 324.000.000
11,11,350,500,Rp 1.200.000.000
4,4,400,418,Rp 2.500.000.000
4,2,192,1182,Rp 2.900.000.000
3,2,125,153,Rp 700.000.000
3,2,80,149,Rp 850.000.000
11,11,200,211,Rp 975.000.000
4,3,175,269,Rp 1.350.000.000
5,5,100,300,Rp 750.000.000
3,3,1000,5000,Rp 450.000.000
4,2,70,150,Rp 770.000.000
6,7,500,1366,Rp 7.000.000.000
5,5,120,280,Rp 800.000.000
6,2,140,300,Rp 900.000.000
2,1,45,100,Rp 450.000.000
5,4,300,316,Rp 2.300.000.000
2,2,70,112,Rp 350.000.000
4,3,200,154,Rp 825.000.000
10,10,1500,2000,Rp 12.000.000.000
4,4,500,3400,Rp 12.000.000.000
3,3,85,130,Rp 900.000.000
3,2,149,288,Rp 2.500.000.000
5,2,275,599,Rp 3.000.000.000
5,1,150,292,Rp 1.800.000.000
3,2,100,200,Rp 700.000.000
3,3,500,766,Rp 2.500.000.000
5,5,800,1401,Rp 5.000.000.000
4,2,70,149,Rp 770.000.000
2,1,27,72,Rp 168.000.000
4,3,470,529,Rp 3.000.000.000
5,5,240,280,Rp 2.300.000.000
2,1,45,100,Rp 450.000.000
3,2,60,108,Rp 185.000.000
